#Digilent WaveForms Oscilloscope Acquisition,,,,,
#Device Name: Discovery2,,,,,
#Serial Number: SN:210321AFD7CC,,,,,
#Date Time: 2020-09-24 15:58:33.471,,,,,
#Sample rate: 54615Hz,,,,,
#Samples: 8192,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 900 mV Hyst.: Auto HoldOff: 0 s,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Wavegen Channel 1: Running,,,,,
#Mode: Simple,,,,,
#Type: Pulse,,,,,
#Frequency: 1 Hz,,,,,
#Period: 1 s,,,,,
#Amplitude: 2.5 V,,,,,
#Offset: 0 V,,,,,
#Symmetry: 0.4 %,,,,,
#Phase: 0 °,,,,,
,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,
-0.071285362,-0.004771093,0.004971471,0.003620001,-0.617046095,8.656
-0.071267052,-0.004771093,0.004971471,0.003620001,-0.616388734,8.649
-0.071248742,-0.001452832,0.001619309,0.001179108,-0.61573163,8.642
-0.071230432,-0.004771093,0.004971471,0.003620001,-0.615074782,8.635
-0.071212122,-0.004771093,0.004971471,0.003620001,-0.61441819,8.628
-0.071193812,-0.004771093,0.001619309,0.001179108,-0.613761855,8.621
-0.071175502,-0.004771093,0.001619309,0.001179108,-0.613105776,8.614
-0.071157192,-0.001452832,0.001619309,0.001179108,-0.612449953,8.607
-0.071138882,-0.004771093,0.001619309,0.001179108,-0.611794387,8.6
-0.071120572,-0.004771093,0.001619309,0.001179108,-0.611139077,8.593
-0.071102262,-0.004771093,0.001619309,0.001179108,-0.610484023,8.586
-0.071083952,-0.004771093,0.001619309,0.001179108,-0.609829226,8.579
-0.071065642,-0.004771093,0.001619309,0.001179108,-0.609174685,8.572
-0.071047332,-0.004771093,0.001619309,0.001179108,-0.6085204,8.565
-0.071029022,-0.004771093,0.001619309,0.001179108,-0.607866372,8.558
-0.071010712,-0.004771093,0.001619309,0.001179108,-0.6072126,8.551
-0.070992402,-0.004771093,0.004971471,0.003620001,-0.606559084,8.544
-0.070974092,-0.004771093,0.001619309,0.001179108,-0.605905825,8.537
-0.070955782,-0.004771093,0.001619309,0.001179108,-0.605252822,8.53
-0.070937472,-0.004771093,0.004971471,0.003620001,-0.604600075,8.523
-0.070919162,-0.004771093,0.001619309,0.001179108,-0.603947585,8.516
-0.070900852,-0.004771093,0.001619309,0.001179108,-0.603295351,8.509
-0.070882542,-0.004771093,0.001619309,0.001179108,-0.602643374,8.502
-0.070864232,-0.004771093,0.001619309,0.001179108,-0.601991652,8.495
-0.070845922,-0.004771093,0.004971471,0.003620001,-0.601340187,8.488
-0.070827612,-0.004771093,0.004971471,0.003620001,-0.600688979,8.481
-0.070809302,-0.004771093,0.004971471,0.003620001,-0.600038027,8.474
-0.070790992,-0.004771093,0.001619309,0.001179108,-0.599387331,8.467
-0.070772682,-0.004771093,0.004971471,0.003620001,-0.598736891,8.46
-0.070754372,-0.004771093,0.004971471,0.003620001,-0.598086708,8.453
-0.070736062,-0.004771093,0.004971471,0.003620001,-0.597436781,8.446
-0.070717752,-0.004771093,0.001619309,0.001179108,-0.596787111,8.439
-0.070699442,-0.001452832,0.001619309,0.001179108,-0.596137696,8.432
-0.070681132,-0.004771093,0.001619309,0.001179108,-0.595488539,8.425
-0.070662822,-0.004771093,0.004971471,0.003620001,-0.594839637,8.418
-0.070644512,-0.004771093,0.004971471,0.003620001,-0.594190992,8.411
-0.070626202,-0.004771093,0.004971471,0.003620001,-0.593542603,8.404
-0.070607892,-0.004771093,0.001619309,0.001179108,-0.592894471,8.397
-0.070589582,-0.001452832,0.001619309,0.001179108,-0.592246594,8.39
-0.070571272,-0.004771093,-0.001732853,-0.001261786,-0.591598975,8.383
-0.070552962,-0.004771093,0.001619309,0.001179108,-0.590951611,8.376
-0.070534652,-0.004771093,0.001619309,0.001179108,-0.590304504,8.369
-0.070516342,-0.004771093,0.001619309,0.001179108,-0.589657653,8.362
-0.070498032,-0.004771093,0.001619309,0.001179108,-0.589011059,8.355
-0.070479722,-0.004771093,0.004971471,0.003620001,-0.588364721,8.348
-0.070461412,-0.004771093,0.001619309,0.001179108,-0.587718639,8.341
-0.070443102,-0.004771093,0.001619309,0.001179108,-0.587072814,8.334
-0.070424792,-0.001452832,0.001619309,0.001179108,-0.586427244,8.327
-0.070406482,-0.004771093,0.001619309,0.001179108,-0.585781932,8.32
-0.070388172,-0.004771093,0.001619309,0.001179108,-0.585136875,8.313
-0.070369862,-0.004771093,0.004971471,0.003620001,-0.584492075,8.306
-0.070351552,-0.004771093,0.001619309,0.001179108,-0.583847532,8.299
-0.070333242,-0.004771093,0.001619309,0.001179108,-0.583203244,8.292
-0.070314932,-0.001452832,0.001619309,0.001179108,-0.582559213,8.285
-0.070296622,-0.004771093,0.001619309,0.001179108,-0.581915438,8.278
-0.070278312,-0.001452832,0.001619309,0.001179108,-0.58127192,8.271
-0.070260002,-0.004771093,0.004971471,0.003620001,-0.580628658,8.264
-0.070241692,-0.001452832,0.001619309,0.001179108,-0.579985652,8.257
-0.070223382,-0.004771093,0.004971471,0.003620001,-0.579342903,8.25
-0.070205072,-0.004771093,0.004971471,0.003620001,-0.57870041,8.243
-0.070186762,-0.004771093,0.001619309,0.001179108,-0.578058173,8.236
-0.070168452,-0.004771093,0.001619309,0.001179108,-0.577416193,8.229
-0.070150142,-0.004771093,0.004971471,0.003620001,-0.576774469,8.222
-0.070131832,-0.004771093,0.001619309,0.001179108,-0.576133001,8.215
-0.070113522,-0.004771093,0.004971471,0.003620001,-0.57549179,8.208
-0.070095212,-0.008089353,0.001619309,0.001179108,-0.574850835,8.201
-0.070076902,-0.004771093,0.001619309,0.001179108,-0.574210136,8.194
-0.070058592,-0.004771093,0.001619309,0.001179108,-0.573569694,8.187
-0.070040282,-0.004771093,0.004971471,0.003620001,-0.572929508,8.18
-0.070021972,-0.004771093,0.001619309,0.001179108,-0.572289579,8.173
-0.070003662,-0.004771093,0.004971471,0.003620001,-0.571649905,8.166
-0.069985352,-0.004771093,0.001619309,0.001179108,-0.571010488,8.159
-0.069967042,-0.004771093,0.001619309,0.001179108,-0.570371328,8.152
-0.069948732,-0.004771093,0.001619309,0.001179108,-0.569732424,8.145
-0.069930422,-0.004771093,0.001619309,0.001179108,-0.569093776,8.138
-0.069912112,-0.001452832,0.004971471,0.003620001,-0.568455384,8.131
-0.069893802,-0.004771093,0.001619309,0.001179108,-0.567817249,8.124
-0.069875492,-0.004771093,0.004971471,0.003620001,-0.56717937,8.117
-0.069857182,-0.004771093,0.004971471,0.003620001,-0.566541747,8.11
-0.069838872,-0.004771093,0.001619309,0.001179108,-0.565904381,8.103
-0.069820562,-0.004771093,0.001619309,0.001179108,-0.565267271,8.096
-0.069802252,-0.004771093,0.001619309,0.001179108,-0.564630418,8.089
-0.069783942,-0.008089353,0.001619309,0.001179108,-0.563993821,8.082
-0.069765632,-0.004771093,0.004971471,0.003620001,-0.56335748,8.075
-0.069747322,-0.004771093,0.001619309,0.001179108,-0.562721395,8.068
-0.069729012,-0.004771093,0.001619309,0.001179108,-0.562085567,8.061
-0.069710702,-0.004771093,0.004971471,0.003620001,-0.561449995,8.054
-0.069692392,-0.004771093,0.001619309,0.001179108,-0.56081468,8.047
-0.069674082,-0.004771093,0.001619309,0.001179108,-0.560179621,8.04
-0.069655772,-0.004771093,0.004971471,0.003620001,-0.559544818,8.033
-0.069637462,-0.004771093,0.001619309,0.001179108,-0.558910271,8.026
-0.069619152,-0.004771093,0.004971471,0.003620001,-0.558275981,8.019
-0.069600842,-0.008089353,0.001619309,0.001179108,-0.557641948,8.012
-0.069582532,-0.004771093,0.001619309,0.001179108,-0.55700817,8.005
-0.069564222,-0.008089353,0.004971471,0.003620001,-0.556374649,7.998
-0.069545912,-0.004771093,0.004971471,0.003620001,-0.555741384,7.991
-0.069527602,-0.004771093,0.004971471,0.003620001,-0.555108376,7.984
-0.069509292,-0.004771093,0.004971471,0.003620001,-0.554475624,7.977
-0.069490982,-0.004771093,0.001619309,0.001179108,-0.553843128,7.97
-0.069472672,-0.004771093,0.004971471,0.003620001,-0.553210889,7.963
-0.069454362,-0.004771093,0.004971471,0.003620001,-0.552578905,7.956
-0.069436052,-0.004771093,0.004971471,0.003620001,-0.551947179,7.949
-0.069417742,-0.004771093,0.001619309,0.001179108,-0.551315708,7.942
-0.069399432,-0.004771093,0.004971471,0.003620001,-0.550684494,7.935
-0.069381122,-0.008089353,0.001619309,0.001179108,-0.550053537,7.928
-0.069362812,-0.004771093,0.004971471,0.003620001,-0.549422835,7.921
-0.069344502,-0.004771093,0.001619309,0.001179108,-0.54879239,7.914
-0.069326192,-0.004771093,0.001619309,0.001179108,-0.548162202,7.907
-0.069307882,-0.004771093,0.004971471,0.003620001,-0.547532269,7.9
-0.069289572,-0.004771093,0.001619309,0.001179108,-0.546902593,7.893
-0.069271262,-0.004771093,0.001619309,0.001179108,-0.546273174,7.886
-0.069252952,-0.004771093,0.001619309,0.001179108,-0.54564401,7.879
